eval_dataset,exposure_condition,filter_mode,threshold,row_count,benign_count,adaptive_adversarial_count,benign_false_positive_count,benign_false_positive_rate,benign_allow_rate,adaptive_block_count,adaptive_block_rate,adaptive_allow_count,adaptive_any_sensitive_field_leak_count,adaptive_any_sensitive_field_leak_rate,adaptive_full_canary_record_leak_count,adaptive_full_canary_record_leak_rate,leak_rate_given_allowed,original_adaptive_block_count,newly_allowed_adaptive_count,newly_blocked_adaptive_count,original_benign_false_positive_count,newly_allowed_benign_count,newly_blocked_benign_count
mixed_traffic,1x,plaintext_filter,0.78,700,350,350,21,0.06,0.9399999999999999,120,0.3428571428571429,230,0,0,0,0,0,224,104,0,110,89,0
adaptive,1x,plaintext_filter,0.79,350,0,350,,,,118,0.3371428571428571,232,0,0,0,0,0,224,106,0,,,
mixed_traffic,1x,plaintext_filter,0.79,700,350,350,20,0.05714285714285714,0.9428571428571428,118,0.3371428571428571,232,0,0,0,0,0,224,106,0,110,90,0
adaptive,1x,plaintext_filter,0.8,350,0,350,,,,114,0.3257142857142857,236,0,0,0,0,0,224,110,0,,,
mixed_traffic,1x,plaintext_filter,0.8,700,350,350,16,0.04571428571428571,0.9542857142857143,114,0.3257142857142857,236,0,0,0,0,0,224,110,0,110,94,0
adaptive,1x,plaintext_filter,0.8100000000000001,350,0,350,,,,112,0.32,238,0,0,0,0,0,224,112,0,,,
mixed_traffic,1x,plaintext_filter,0.8100000000000001,700,350,350,15,0.04285714285714286,0.9571428571428572,112,0.32,238,0,0,0,0,0,224,112,0,110,95,0
adaptive,1x,plaintext_filter,0.82,350,0,350,,,,108,0.3085714285714286,242,0,0,0,0,0,224,116,0,,,
mixed_traffic,1x,plaintext_filter,0.82,700,350,350,15,0.04285714285714286,0.9571428571428572,108,0.3085714285714286,242,0,0,0,0,0,224,116,0,110,95,0
adaptive,1x,plaintext_filter,0.83,350,0,350,,,,103,0.2942857142857143,247,0,0,0,0,0,224,121,0,,,
mixed_traffic,1x,plaintext_filter,0.83,700,350,350,13,0.03714285714285714,0.9628571428571429,103,0.2942857142857143,247,0,0,0,0,0,224,121,0,110,97,0
adaptive,1x,plaintext_filter,0.84,350,0,350,,,,100,0.2857142857142857,250,0,0,0,0,0,224,124,0,,,
mixed_traffic,1x,plaintext_filter,0.84,700,350,350,13,0.03714285714285714,0.9628571428571429,100,0.2857142857142857,250,0,0,0,0,0,224,124,0,110,97,0
adaptive,1x,plaintext_filter,0.85,350,0,350,,,,93,0.2657142857142857,257,0,0,0,0,0,224,131,0,,,
mixed_traffic,1x,plaintext_filter,0.85,700,350,350,10,0.02857142857142857,0.9714285714285714,93,0.2657142857142857,257,0,0,0,0,0,224,131,0,110,100,0
adaptive,1x,plaintext_filter,0.86,350,0,350,,,,93,0.2657142857142857,257,0,0,0,0,0,224,131,0,,,
